运行 ID,AB index,层/投影/AB 标识,方法,实验模式,部分加密比例,骨架优化,输出维度,输入维度,可行性,精度状态,备注,密文元素数,明文元素数,交叉块数值秩,交叉块条件数,逆方法
20260721-194541-real-d3200-outer-partial_A-ratio1-skeleton,26,base_model.model.model.layers.14.self_attn.q_proj.lora.default,外积,partial_A,1,开,3200,3200,可行,warning,外积 CKKS skeleton,3696,98448,16,4715.0261653399075,inv
20260721-194541-real-d3200-outer-partial_A-ratio1-skeleton,27,base_model.model.model.layers.14.self_attn.v_proj.lora.default,外积,partial_A,1,开,3200,3200,可行,正常,外积 CKKS skeleton,3696,98448,16,7561.332974091616,inv
20260721-194541-real-d3200-outer-partial_A-ratio1-skeleton,28,base_model.model.model.layers.15.self_attn.k_proj.lora.default,外积,partial_A,1,开,3200,3200,可行,正常,外积 CKKS skeleton,3696,98448,16,2426.0052880714557,inv
20260721-194541-real-d3200-outer-partial_A-ratio1-skeleton,29,base_model.model.model.layers.15.self_attn.o_proj.lora.default,外积,partial_A,1,开,3200,3200,可行,正常,外积 CKKS skeleton,3696,98448,16,9951.177512010187,inv
20260721-194541-real-d3200-outer-partial_A-ratio1-skeleton,30,base_model.model.model.layers.15.self_attn.q_proj.lora.default,外积,partial_A,1,开,3200,3200,可行,正常,外积 CKKS skeleton,3696,98448,16,3782.8904256244487,inv
20260721-194541-real-d3200-outer-partial_A-ratio1-skeleton,31,base_model.model.model.layers.15.self_attn.v_proj.lora.default,外积,partial_A,1,开,3200,3200,可行,warning,外积 CKKS skeleton,3696,98448,16,131036.7929065281,inv
20260721-194541-real-d3200-outer-partial_A-ratio1-skeleton,32,base_model.model.model.layers.16.self_attn.k_proj.lora.default,外积,partial_A,1,开,3200,3200,可行,正常,外积 CKKS skeleton,3696,98448,16,7300.560000299838,inv
20260721-194541-real-d3200-outer-partial_A-ratio1-skeleton,33,base_model.model.model.layers.16.self_attn.o_proj.lora.default,外积,partial_A,1,开,3200,3200,可行,正常,外积 CKKS skeleton,3696,98448,16,1937.8259907022082,inv
20260721-194541-real-d3200-outer-partial_A-ratio1-skeleton,34,base_model.model.model.layers.16.self_attn.q_proj.lora.default,外积,partial_A,1,开,3200,3200,可行,正常,外积 CKKS skeleton,3696,98448,16,5024.0299410758325,inv
20260721-194541-real-d3200-outer-partial_A-ratio1-skeleton,35,base_model.model.model.layers.16.self_attn.v_proj.lora.default,外积,partial_A,1,开,3200,3200,可行,正常,外积 CKKS skeleton,3696,98448,16,3759.6455176420714,inv
20260721-194541-real-d3200-outer-partial_A-ratio1-skeleton,36,base_model.model.model.layers.17.self_attn.k_proj.lora.default,外积,partial_A,1,开,3200,3200,可行,正常,外积 CKKS skeleton,3696,98448,16,15167.992371934333,inv
20260721-194541-real-d3200-outer-partial_A-ratio1-skeleton,37,base_model.model.model.layers.17.self_attn.o_proj.lora.default,外积,partial_A,1,开,3200,3200,可行,正常,外积 CKKS skeleton,3696,98448,16,1569.682283433848,inv
20260721-194541-real-d3200-outer-partial_A-ratio1-skeleton,38,base_model.model.model.layers.17.self_attn.q_proj.lora.default,外积,partial_A,1,开,3200,3200,可行,正常,外积 CKKS skeleton,3696,98448,16,11860.019770519939,inv
20260721-194541-real-d3200-outer-partial_A-ratio1-skeleton,39,base_model.model.model.layers.17.self_attn.v_proj.lora.default,外积,partial_A,1,开,3200,3200,可行,正常,外积 CKKS skeleton,3696,98448,16,161240.04404455159,inv
20260721-194541-real-d3200-outer-partial_A-ratio1-skeleton,40,base_model.model.model.layers.18.self_attn.k_proj.lora.default,外积,partial_A,1,开,3200,3200,可行,正常,外积 CKKS skeleton,3696,98448,16,7215.739400929772,inv
20260721-194541-real-d3200-outer-partial_A-ratio1-skeleton,41,base_model.model.model.layers.18.self_attn.o_proj.lora.default,外积,partial_A,1,开,3200,3200,可行,warning,外积 CKKS skeleton,3696,98448,16,27172.905887551984,inv
