打包方式,加密程度,骨架优化,外积上传MB,内积上传MB,上传冗余比,外积服务端秒,内积服务端秒,服务端时间比,备注
packed,full,开,5.1017,40.8067,0.13,0.101434,31.031432,0.003,
packed,full,关,5.1009,40.8046,0.13,0.106315,123.423737,0.001,
packed,half,开,2.6131,20.405,0.13,0.047823,11.620932,0.004,
packed,half,关,2.8002,20.4064,0.14,0.050262,44.820479,0.001,
unpacked,full,开,81.6096,40.8095,2.0,1.552503,30.708063,0.051,
unpacked,full,关,326.4537,40.8098,8.0,6.651881,123.728968,0.054,
unpacked,half,开,40.8698,20.4042,2.0,0.773923,11.498995,0.067,
unpacked,half,关,163.4663,20.4073,8.01,3.053783,45.862836,0.067,
