阶段,耗时秒,传输字节,传输MB,备注
客户端加密-内积/packed/half/骨架开,12.410037,1069827425,1020.2669,单客户端平均加密 + 单次上传
服务端聚合-内积/packed/half/骨架开,282.282544,1506299070,1436.5187,密文域聚合 + 单次下载
客户端解密-内积/packed/half/骨架开,6.397342,0,0.0,误差 ε=5.492e-04
