打包方式,加密程度,骨架优化,外积上传MB,内积上传MB,上传冗余比,外积服务端秒,内积服务端秒,服务端时间比,备注
packed,full,开,0.0,0.0,N/A,0.0,0.0,N/A,存在不可行格，未计比值
packed,full,关,0.0,0.0,N/A,0.0,0.0,N/A,存在不可行格，未计比值
packed,half,开,0.0,1021.5363,N/A,0.0,0.862102,N/A,存在不可行格，未计比值
packed,half,关,0.0,1021.5513,N/A,0.0,146.915415,N/A,存在不可行格，未计比值
unpacked,full,开,0.0,0.0,N/A,0.0,0.0,N/A,存在不可行格，未计比值
unpacked,full,关,0.0,0.0,N/A,0.0,0.0,N/A,存在不可行格，未计比值
unpacked,half,开,0.0,1021.5208,N/A,0.0,0.833641,N/A,存在不可行格，未计比值
unpacked,half,关,0.0,1021.5574,N/A,0.0,146.139003,N/A,存在不可行格，未计比值
