运行 ID,AB index,层/投影/AB 标识,方法,实验模式,部分加密比例,骨架优化,输出维度,输入维度,可行性,精度状态,备注,密文元素数,明文元素数,交叉块数值秩,交叉块条件数,逆方法
20260721-201248-real-d3200-outer-partial_AB-ratio1-skeleton,26,base_model.model.model.layers.14.self_attn.q_proj.lora.default,外积,partial_AB,1,开,3200,3200,可行,正常,外积 CKKS skeleton,7329,94815,16,4741.8457373966785,inv
20260721-201248-real-d3200-outer-partial_AB-ratio1-skeleton,27,base_model.model.model.layers.14.self_attn.v_proj.lora.default,外积,partial_AB,1,开,3200,3200,可行,正常,外积 CKKS skeleton,7329,94815,16,7583.051754283731,inv
20260721-201248-real-d3200-outer-partial_AB-ratio1-skeleton,28,base_model.model.model.layers.15.self_attn.k_proj.lora.default,外积,partial_AB,1,开,3200,3200,可行,正常,外积 CKKS skeleton,7329,94815,16,2423.684706724347,inv
20260721-201248-real-d3200-outer-partial_AB-ratio1-skeleton,29,base_model.model.model.layers.15.self_attn.o_proj.lora.default,外积,partial_AB,1,开,3200,3200,可行,正常,外积 CKKS skeleton,7329,94815,16,9878.527063970474,inv
20260721-201248-real-d3200-outer-partial_AB-ratio1-skeleton,30,base_model.model.model.layers.15.self_attn.q_proj.lora.default,外积,partial_AB,1,开,3200,3200,可行,正常,外积 CKKS skeleton,7329,94815,16,3783.6424879594147,inv
20260721-201248-real-d3200-outer-partial_AB-ratio1-skeleton,31,base_model.model.model.layers.15.self_attn.v_proj.lora.default,外积,partial_AB,1,开,3200,3200,可行,warning,外积 CKKS skeleton,7329,94815,16,135364.81632969782,inv
20260721-201248-real-d3200-outer-partial_AB-ratio1-skeleton,32,base_model.model.model.layers.16.self_attn.k_proj.lora.default,外积,partial_AB,1,开,3200,3200,可行,正常,外积 CKKS skeleton,7329,94815,16,7283.964868769026,inv
20260721-201248-real-d3200-outer-partial_AB-ratio1-skeleton,33,base_model.model.model.layers.16.self_attn.o_proj.lora.default,外积,partial_AB,1,开,3200,3200,可行,正常,外积 CKKS skeleton,7329,94815,16,1932.6354889650122,inv
20260721-201248-real-d3200-outer-partial_AB-ratio1-skeleton,34,base_model.model.model.layers.16.self_attn.q_proj.lora.default,外积,partial_AB,1,开,3200,3200,可行,正常,外积 CKKS skeleton,7329,94815,16,5021.448046415993,inv
20260721-201248-real-d3200-outer-partial_AB-ratio1-skeleton,35,base_model.model.model.layers.16.self_attn.v_proj.lora.default,外积,partial_AB,1,开,3200,3200,可行,正常,外积 CKKS skeleton,7329,94815,16,3763.4047022521104,inv
20260721-201248-real-d3200-outer-partial_AB-ratio1-skeleton,36,base_model.model.model.layers.17.self_attn.k_proj.lora.default,外积,partial_AB,1,开,3200,3200,可行,warning,外积 CKKS skeleton,7329,94815,16,15388.99279130079,inv
20260721-201248-real-d3200-outer-partial_AB-ratio1-skeleton,37,base_model.model.model.layers.17.self_attn.o_proj.lora.default,外积,partial_AB,1,开,3200,3200,可行,正常,外积 CKKS skeleton,7329,94815,16,1569.2425660909068,inv
20260721-201248-real-d3200-outer-partial_AB-ratio1-skeleton,38,base_model.model.model.layers.17.self_attn.q_proj.lora.default,外积,partial_AB,1,开,3200,3200,可行,正常,外积 CKKS skeleton,7329,94815,16,11877.90606175819,inv
20260721-201248-real-d3200-outer-partial_AB-ratio1-skeleton,39,base_model.model.model.layers.17.self_attn.v_proj.lora.default,外积,partial_AB,1,开,3200,3200,可行,正常,外积 CKKS skeleton,7329,94815,16,153023.03433704164,inv
20260721-201248-real-d3200-outer-partial_AB-ratio1-skeleton,40,base_model.model.model.layers.18.self_attn.k_proj.lora.default,外积,partial_AB,1,开,3200,3200,可行,正常,外积 CKKS skeleton,7329,94815,16,7203.064907040033,inv
