运行 ID,AB index,层/投影/AB 标识,方法,实验模式,部分加密比例,骨架优化,输出维度,输入维度,可行性,精度状态,备注,密文元素数,明文元素数,交叉块数值秩,交叉块条件数,逆方法
20260721-181805-real-d3200,32,base_model.model.model.layers.16.self_attn.k_proj.lora.default,外积,full,N/A,开,3200,3200,可行,warning,外积 CKKS skeleton,102144,0,16,7204.655749808633,inv
20260721-181805-real-d3200,33,base_model.model.model.layers.16.self_attn.o_proj.lora.default,外积,full,N/A,开,3200,3200,可行,正常,外积 CKKS skeleton,102144,0,16,1938.5554131263075,inv
20260721-181805-real-d3200,34,base_model.model.model.layers.16.self_attn.q_proj.lora.default,外积,full,N/A,开,3200,3200,可行,warning,外积 CKKS skeleton,102144,0,16,5031.345826309075,inv
20260721-181805-real-d3200,35,base_model.model.model.layers.16.self_attn.v_proj.lora.default,外积,full,N/A,开,3200,3200,可行,正常,外积 CKKS skeleton,102144,0,16,3795.424901874239,inv
20260721-181805-real-d3200,36,base_model.model.model.layers.17.self_attn.k_proj.lora.default,外积,full,N/A,开,3200,3200,可行,warning,外积 CKKS skeleton,102144,0,16,14177.106459517243,inv
20260721-181805-real-d3200,37,base_model.model.model.layers.17.self_attn.o_proj.lora.default,外积,full,N/A,开,3200,3200,可行,正常,外积 CKKS skeleton,102144,0,16,1566.1068575107008,inv
20260721-181805-real-d3200,38,base_model.model.model.layers.17.self_attn.q_proj.lora.default,外积,full,N/A,开,3200,3200,可行,warning,外积 CKKS skeleton,102144,0,16,11880.24146832247,inv
20260721-181805-real-d3200,39,base_model.model.model.layers.17.self_attn.v_proj.lora.default,外积,full,N/A,开,3200,3200,可行,warning,外积 CKKS skeleton,102144,0,16,168355.66950436507,inv
20260721-181805-real-d3200,40,base_model.model.model.layers.18.self_attn.k_proj.lora.default,外积,full,N/A,开,3200,3200,可行,warning,外积 CKKS skeleton,102144,0,16,7199.026969080369,inv
20260721-181805-real-d3200,41,base_model.model.model.layers.18.self_attn.o_proj.lora.default,外积,full,N/A,开,3200,3200,可行,warning,外积 CKKS skeleton,102144,0,16,26880.38740457144,inv
20260721-181805-real-d3200,42,base_model.model.model.layers.18.self_attn.q_proj.lora.default,外积,full,N/A,开,3200,3200,可行,正常,外积 CKKS skeleton,102144,0,16,2943.2906173713263,inv
20260721-181805-real-d3200,43,base_model.model.model.layers.18.self_attn.v_proj.lora.default,外积,full,N/A,开,3200,3200,可行,warning,外积 CKKS skeleton,102144,0,16,37129.798061890964,inv
20260721-181805-real-d3200,44,base_model.model.model.layers.19.self_attn.k_proj.lora.default,外积,full,N/A,开,3200,3200,可行,正常,外积 CKKS skeleton,102144,0,16,1098.3659369813945,inv
20260721-181805-real-d3200,45,base_model.model.model.layers.19.self_attn.o_proj.lora.default,外积,full,N/A,开,3200,3200,可行,warning,外积 CKKS skeleton,102144,0,16,10788.045400554398,inv
20260721-181805-real-d3200,46,base_model.model.model.layers.19.self_attn.q_proj.lora.default,外积,full,N/A,开,3200,3200,可行,正常,外积 CKKS skeleton,102144,0,16,1223.1105199103094,inv
20260721-181805-real-d3200,47,base_model.model.model.layers.19.self_attn.v_proj.lora.default,外积,full,N/A,开,3200,3200,可行,正常,外积 CKKS skeleton,102144,0,16,3007.506345767504,inv
20260721-181805-real-d3200,48,base_model.model.model.layers.2.self_attn.k_proj.lora.default,外积,full,N/A,开,3200,3200,可行,正常,外积 CKKS skeleton,102144,0,16,5438.9508513379415,inv
20260721-181805-real-d3200,49,base_model.model.model.layers.2.self_attn.o_proj.lora.default,外积,full,N/A,开,3200,3200,可行,warning,外积 CKKS skeleton,102144,0,16,112654.00105438441,inv
20260721-181805-real-d3200,50,base_model.model.model.layers.2.self_attn.q_proj.lora.default,外积,full,N/A,开,3200,3200,可行,warning,外积 CKKS skeleton,102144,0,16,5965.823907700007,inv
20260721-181805-real-d3200,51,base_model.model.model.layers.2.self_attn.v_proj.lora.default,外积,full,N/A,开,3200,3200,可行,warning,外积 CKKS skeleton,102144,0,16,176177.4993305289,inv
20260721-181805-real-d3200,52,base_model.model.model.layers.20.self_attn.k_proj.lora.default,外积,full,N/A,开,3200,3200,可行,正常,外积 CKKS skeleton,102144,0,16,6436.1339368073295,inv
20260721-181805-real-d3200,53,base_model.model.model.layers.20.self_attn.o_proj.lora.default,外积,full,N/A,开,3200,3200,可行,warning,外积 CKKS skeleton,102144,0,16,171427.26917961336,inv
20260721-181805-real-d3200,54,base_model.model.model.layers.20.self_attn.q_proj.lora.default,外积,full,N/A,开,3200,3200,可行,正常,外积 CKKS skeleton,102144,0,16,2789.4291187917665,inv
20260721-181805-real-d3200,55,base_model.model.model.layers.20.self_attn.v_proj.lora.default,外积,full,N/A,开,3200,3200,可行,warning,外积 CKKS skeleton,102144,0,16,44892.68205448991,inv
20260721-181805-real-d3200,56,base_model.model.model.layers.21.self_attn.k_proj.lora.default,外积,full,N/A,开,3200,3200,可行,正常,外积 CKKS skeleton,102144,0,16,807.5225719919885,inv
20260721-181805-real-d3200,57,base_model.model.model.layers.21.self_attn.o_proj.lora.default,外积,full,N/A,开,3200,3200,可行,warning,外积 CKKS skeleton,102144,0,16,9642142.805833908,inv
20260721-181805-real-d3200,58,base_model.model.model.layers.21.self_attn.q_proj.lora.default,外积,full,N/A,开,3200,3200,可行,warning,外积 CKKS skeleton,102144,0,16,33816.64742822452,inv
20260721-181805-real-d3200,59,base_model.model.model.layers.21.self_attn.v_proj.lora.default,外积,full,N/A,开,3200,3200,可行,warning,外积 CKKS skeleton,102144,0,16,150724.0965747306,inv
20260721-181805-real-d3200,60,base_model.model.model.layers.22.self_attn.k_proj.lora.default,外积,full,N/A,开,3200,3200,可行,正常,外积 CKKS skeleton,102144,0,16,726.0986627875882,inv
20260721-181805-real-d3200,61,base_model.model.model.layers.22.self_attn.o_proj.lora.default,外积,full,N/A,开,3200,3200,可行,正常,外积 CKKS skeleton,102144,0,16,7392.1469200020865,inv
20260721-181805-real-d3200,62,base_model.model.model.layers.22.self_attn.q_proj.lora.default,外积,full,N/A,开,3200,3200,可行,正常,外积 CKKS skeleton,102144,0,16,21790.679540641617,inv
20260721-181805-real-d3200,63,base_model.model.model.layers.22.self_attn.v_proj.lora.default,外积,full,N/A,开,3200,3200,可行,warning,外积 CKKS skeleton,102144,0,16,12209473.68343795,inv
